label,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v
C,0.5490267276763916,0.32049185037612915,-0.17557448148727417,0.992888867855072,0.4886695146560669,0.34299540519714355,0.13247093558311462,0.9902752041816711,0.4924967586994171,0.343423455953598,-0.23788708448410034,0.9998792409896851,0.4687630236148834,0.5115784406661987,-0.2674978971481323,0.957144558429718,0.45892757177352905,0.5014309287071228,0.1530625820159912,0.016050828620791435,0.4835796356201172,0.6766321659088135,-0.21543444693088531,0.8324794769287109,0.45537471771240234,0.6306799054145813,0.06188397854566574,0.027825310826301575,0.4311237037181854,0.6446713209152222,0.11670027673244476,0.9466050267219543,0.4386797249317169,0.6463713645935059,-0.11674650758504868,0.9740599393844604
C,0.5403323173522949,0.30488690733909607,-0.16825643181800842,0.9932010173797607,0.4883590340614319,0.3418533205986023,0.13950060307979584,0.9900310635566711,0.48118993639945984,0.3325076997280121,-0.22272266447544098,0.9998667240142822,0.46316447854042053,0.504219651222229,-0.24055451154708862,0.9546650052070618,0.46149635314941406,0.5004199743270874,0.163862943649292,0.015270554460585117,0.4895745813846588,0.6610049605369568,-0.18348118662834167,0.8213323950767517,0.4603930115699768,0.6225666403770447,0.07100167870521545,0.02601856365799904,0.43949005007743835,0.6511151790618896,0.11408431082963943,0.9285236597061157,0.44110098481178284,0.6518131494522095,-0.11409202963113785,0.9660882949829102
C,0.5387174487113953,0.3011115789413452,-0.1780577301979065,0.994154155254364,0.4874430298805237,0.3412255346775055,0.142286479473114,0.9905014038085938,0.4791467487812042,0.33264613151550293,-0.22497691214084625,0.9998684525489807,0.46339744329452515,0.5033890008926392,-0.2387550175189972,0.9517723321914673,0.4617236852645874,0.5003941655158997,0.1675242781639099,0.014887392520904541,0.4918287694454193,0.6600514054298401,-0.17117911577224731,0.8058074116706848,0.46197688579559326,0.6227290630340576,0.05822296813130379,0.025761248543858528,0.44042885303497314,0.6534855961799622,0.11384156346321106,0.9248435497283936,0.44185614585876465,0.6540315747261047,-0.11384393274784088,0.9642897844314575
C,0.5376987457275391,0.30065786838531494,-0.18682463467121124,0.9949985146522522,0.48630523681640625,0.3409759998321533,0.13855309784412384,0.9910697340965271,0.4785301387310028,0.3328481614589691,-0.218926802277565,0.999873697757721,0.46344342827796936,0.503023087978363,-0.2247830033302307,0.9497478008270264,0.461136132478714,0.5008904933929443,0.16021400690078735,0.014868835918605328,0.49265262484550476,0.6597384214401245,-0.1560688614845276,0.7901821732521057,0.46322551369667053,0.6221849322319031,0.04926912859082222,0.026474496349692345,0.4412224590778351,0.6555648446083069,0.1114504486322403,0.9276512861251831,0.4430480897426605,0.6560603380203247,-0.1114383414387703,0.9657665491104126
C,0.5369317531585693,0.29865768551826477,-0.20697835087776184,0.995858371257782,0.4859059751033783,0.3408501148223877,0.13667219877243042,0.9917333722114563,0.4785301387310028,0.3327735960483551,-0.2148120403289795,0.9998834133148193,0.46351760625839233,0.501173734664917,-0.2193785309791565,0.9502021074295044,0.46056467294692993,0.5014212131500244,0.16168974339962006,0.014955622144043446,0.4928184151649475,0.6553686857223511,-0.1580432951450348,0.7811394333839417,0.4636795222759247,0.6220417618751526,0.049874626100063324,0.027646565809845924,0.44292065501213074,0.65694659948349,0.11027903109788895,0.9337268471717834,0.4442548453807831,0.656951367855072,-0.1102619543671608,0.9685264229774475
C,0.5370403528213501,0.2984843850135803,-0.19971099495887756,0.9962088465690613,0.4859149754047394,0.34083595871925354,0.13561111688613892,0.9919260144233704,0.4785432815551758,0.3327646553516388,-0.2140146642923355,0.9998874068260193,0.46354034543037415,0.5007665157318115,-0.2198258489370346,0.9505243301391602,0.46057388186454773,0.5013505220413208,0.16201861202716827,0.014950256794691086,0.4927982687950134,0.6543662548065186,-0.1581721305847168,0.7793116569519043,0.46359068155288696,0.6218150854110718,0.053666189312934875,0.027972295880317688,0.4435226023197174,0.6568319201469421,0.1098795235157013,0.9360179901123047,0.44465842843055725,0.6568554043769836,-0.10986857116222382,0.9695478677749634
C,0.5375258326530457,0.2989611029624939,-0.1807975322008133,0.9966191053390503,0.4861185848712921,0.3407902717590332,0.13450196385383606,0.9920728802680969,0.4786607027053833,0.33267250657081604,-0.21374982595443726,0.9998899698257446,0.46378931403160095,0.5007465481758118,-0.22398781776428223,0.9505451321601868,0.4606562852859497,0.5014515519142151,0.1599811166524887,0.014956553466618061,0.49264615774154663,0.6542350649833679,-0.16305986046791077,0.7770180106163025,0.4631171226501465,0.6238263845443726,0.05465807020664215,0.02813538908958435,0.4433438181877136,0.65565425157547,0.10911840945482254,0.9374203681945801,0.44461044669151306,0.6550616025924683,-0.10909610241651535,0.9701116681098938
C,0.538579523563385,0.3000548183917999,-0.14921346306800842,0.9966688752174377,0.4859951436519623,0.3390776813030243,0.13477645814418793,0.991928219795227,0.47926267981529236,0.33209267258644104,-0.21446263790130615,0.9998859763145447,0.4638916254043579,0.4999912977218628,-0.22579169273376465,0.9510089755058289,0.4603017270565033,0.5010307431221008,0.15476864576339722,0.014959719963371754,0.4923390746116638,0.6545172929763794,-0.1612401157617569,0.7774226665496826,0.4602411687374115,0.6177659034729004,0.05465473607182503,0.027868766337633133,0.44185134768486023,0.654081404209137,0.10918410867452621,0.9352272748947144,0.44450438022613525,0.6536653637886047,-0.10916756838560104,0.9689667820930481
C,0.5388665199279785,0.3001643121242523,-0.1560332179069519,0.9967562556266785,0.48613542318344116,0.33849191665649414,0.13482104241847992,0.9919154644012451,0.4796067476272583,0.33175578713417053,-0.2141856551170349,0.9998863935470581,0.4638720154762268,0.49952471256256104,-0.2254241555929184,0.9515366554260254,0.46038028597831726,0.5004523992538452,0.1550852209329605,0.014943885616958141,0.4920429587364197,0.6546499133110046,-0.16127347946166992,0.7789738774299622,0.46040910482406616,0.6178709864616394,0.054792750626802444,0.027885165065526962,0.44172346591949463,0.6534217000007629,0.10921838134527206,0.9358110427856445,0.44448524713516235,0.6533225774765015,-0.10920153558254242,0.9692144393920898
C,0.5394070148468018,0.3002581298351288,-0.16989345848560333,0.9969282150268555,0.4863027334213257,0.33790889382362366,0.13234128057956696,0.991949737071991,0.4805210828781128,0.3317054212093353,-0.21452458202838898,0.9998841285705566,0.46386173367500305,0.49937835335731506,-0.22445368766784668,0.950620710849762,0.4604484736919403,0.5000819563865662,0.15447452664375305,0.014858211390674114,0.4914897382259369,0.6549127101898193,-0.15775004029273987,0.7754543423652649,0.4601348340511322,0.6168346405029297,0.05470418557524681,0.028029413893818855,0.44162383675575256,0.6527004837989807,0.10851290076971054,0.9375125169754028,0.4445129632949829,0.652994692325592,-0.10849717259407043,0.9698365330696106
